"","GEOID","NAME","label","estimate","measure_type"
"92","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",7.5,"percent"
"93","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years",NA,"percent"
"94","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",7.4,"percent"
"95","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over",NA,"percent"
"96","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over!!35 years and over enrolled in school",21.6,"percent"
"97","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years",NA,"percent"
"98","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Enrolled in college or graduate school",6.6,"percent"
"99","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years",NA,"percent"
"100","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school",6.6,"percent"
"101","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years",NA,"percent"
"102","4800010","Hays Consolidated Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school",6.7,"percent"
"103","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school",15.5,"percent"
"104","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Nursery school, preschool",49,"percent"
"105","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",11.9,"percent"
"106","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten",12.7,"percent"
"107","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",12.2,"percent"
"108","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",12.9,"percent"
"109","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",10,"percent"
"110","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!College, undergraduate",14,"percent"
"111","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Graduate, professional school",16.5,"percent"
"112","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school",14.6,"percent"
"113","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",14.3,"percent"
"114","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",14.9,"percent"
"115","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years",NA,"percent"
"116","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",51.5,"percent"
"117","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years",NA,"percent"
"118","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",14.2,"percent"
"119","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years",NA,"percent"
"120","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",13,"percent"
"121","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17",NA,"percent"
"122","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17!!15 to 17 year olds enrolled in school",9.7,"percent"
"123","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years",NA,"percent"
"124","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",14.5,"percent"
"125","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years",NA,"percent"
"126","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",13.4,"percent"
"127","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years",NA,"percent"
"128","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",13.9,"percent"
"129","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over",NA,"percent"
"130","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over!!35 years and over enrolled in school",18.5,"percent"
"131","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years",NA,"percent"
"132","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Enrolled in college or graduate school",13.9,"percent"
"133","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years",NA,"percent"
"134","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school",12.2,"percent"
"135","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years",NA,"percent"
"136","4808940","Austin Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school",15.4,"percent"
"137","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school",14.8,"percent"
"138","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Nursery school, preschool",28.4,"percent"
"139","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",11.4,"percent"
"140","4809570","Bastrop Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten",25.4,"percent"
